!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-06-01 00:00:00	3.937875	0	102331.23	11.225793	67.496506	0.61517867	274.70114	0
1979-06-02 00:00:00	4.353879	0	102604.39	13.475488	61.89529	0.40628769	325.03485	0
1979-06-03 00:00:00	3.531441	0	102118.18	14.225671	77.237473	0.94243727	151.75032	9.5205278e-09
1979-06-04 00:00:00	3.1473186	0	101870.9	11.902643	88.132782	0.94148343	152.72499	9.1468919e-09
1979-06-05 00:00:00	2.8863378	0	101639.16	9.6819397	89.47773	0.8999559	172.45195	7.0062655e-08
1979-06-06 00:00:00	5.5856872	0	101812.05	8.8756958	92.379196	1	82.939156	4.3418502e-08
1979-06-07 00:00:00	3.2926888	0	101912.34	10.414545	78.286461	0.88227084	181.48592	2.0169509e-08
1979-06-08 00:00:00	2.702503	0	101457.87	11.400964	77.196716	1	114.8897	7.4323769e-08
1979-06-09 00:00:00	2.9371383	0	101418.71	11.730493	79.375336	0.91441225	168.07399	1.9255198e-08
1979-06-10 00:00:00	2.4848392	0	101571.61	13.501428	81.764008	0.90634886	170.22609	2.6425858e-08
1979-06-11 00:00:00	2.2226293	0	101672.12	12.815302	94.250381	1	105.28136	5.0463928e-08
1979-06-12 00:00:00	1.4958785	0	101626.26	12.600854	96.265678	1	118.90242	9.7500073e-08
1979-06-13 00:00:00	3.9011698	0	101196.41	11.590631	87.166306	0.90048059	174.1071	2.2380471e-08
1979-06-14 00:00:00	7.1684146	0	100717.95	10.242181	74.72467	0.81721492	211.53493	8.158695e-09
1979-06-15 00:00:00	6.037415	0	101422.42	11.171136	66.212524	0.63942969	275.50299	0
1979-06-16 00:00:00	3.5929036	0	102188.62	12.063867	79.08609	0.7854093	221.99133	0
1979-06-17 00:00:00	2.1907976	0	102689.28	13.119135	78.254608	0.65931416	265.01883	0
1979-06-18 00:00:00	3.2722547	0	102637.68	13.45321	78.049553	0.63519177	272.2717	0
1979-06-19 00:00:00	3.5372496	0	102167.23	14.825372	74.216194	0.57966676	287.76508	0
1979-06-20 00:00:00	4.0844502	0	101618.84	13.249902	82.970955	0.94102879	156.16612	8.7831704e-09
1979-06-21 00:00:00	7.2523227	0	101118.62	11.107385	82.28437	0.95773037	150.01807	2.2482103e-08
1979-06-22 00:00:00	7.123353	0	101305.41	11.469263	76.223236	1	101.08714	2.1948026e-08
1979-06-23 00:00:00	4.1169467	0	100682.48	10.676599	79.920013	0.86819162	190.03813	4.553195e-08
1979-06-24 00:00:00	4.0676785	0	100745.32	9.7337585	79.472328	0.80319613	217.06288	2.6309246e-08
1979-06-25 00:00:00	3.2909734	0	101116.69	10.335138	67.24102	0.76646722	232.41008	1.3251042e-09
1979-06-26 00:00:00	2.5714972	0	101469.88	11.034296	67.131218	0.76314434	232.96034	0
1979-06-27 00:00:00	4.2894001	0	101626.5	12.790399	85.869827	1	83.082054	1.5451025e-08
1979-06-28 00:00:00	5.4347844	0	101718.23	12.721246	86.251602	0.96738085	143.44196	1.9896337e-08
1979-06-29 00:00:00	6.8339648	0	101957.77	11.294305	70.186798	0.88142662	184.38362	7.9331403e-09
1979-06-30 00:00:00	5.4351287	0	102558.23	11.268549	67.035217	0.67918284	261.08621	0
1979-07-01 00:00:00	4.5996737	0	102771	11.70965	77.355026	0.64727011	268.39835	0
1979-07-02 00:00:00	3.449162	0	102436.97	13.030725	76.423088	0.70778982	247.19188	0
1979-07-03 00:00:00	1.3632591	0	102329.09	14.25863	74.674683	0.64894938	264.75168	0
1979-07-04 00:00:00	2.6561863	0	102623.61	13.979761	75.859451	0.76914996	222.90802	0
1979-07-05 00:00:00	3.0840673	0	102911.52	14.025232	76.335793	0.73320735	235.00911	0
1979-07-06 00:00:00	5.4536018	0	102391.6	14.322595	79.577721	0.72686868	235.68088	2.1060008e-08
1979-07-07 00:00:00	4.8283324	0	101945.53	13.595361	84.15741	0.86941262	182.06358	1.1642142e-08
1979-07-08 00:00:00	6.060307	0	101616.56	13.945917	91.852798	1	84.071762	3.3074492e-08
1979-07-09 00:00:00	4.4393754	0	101852.53	12.557123	72.739464	0.66568791	257.12366	1.9668009e-09
1979-07-10 00:00:00	2.4553952	0	102129.21	12.412042	69.667976	0.70527213	244.4657	0
1979-07-11 00:00:00	2.8755417	0	101908.86	13.896539	80.467072	0.92968048	155.47961	6.3959151e-09
1979-07-12 00:00:00	3.6120565	0	101802.91	14.164545	81.602043	0.76025671	220.35312	6.416155e-09
1979-07-13 00:00:00	3.9171996	0	102231.3	13.119928	74.645927	0.76150859	221.56331	2.9838689e-09
1979-07-14 00:00:00	2.7386625	0	102544.18	13.055231	79.085953	1	118.63327	1.2806815e-08
1979-07-15 00:00:00	2.4115691	0	102738.97	13.498865	75.939064	0.52515519	289.11533	0
1979-07-16 00:00:00	4.8925233	0	102246.59	14.621942	87.42675	1	115.63435	1.8575158e-08
1979-07-17 00:00:00	5.6167912	0	101744.6	14.969019	93.586586	1	97.291946	3.5658843e-08
1979-07-18 00:00:00	5.5734606	0	101481.03	12.498132	76.48642	0.8687491	178.13559	5.9616277e-09
1979-07-19 00:00:00	5.046329	0	101607.88	12.554315	75.65992	0.77492006	212.45763	1.7845374e-09
1979-07-20 00:00:00	5.2970033	0	101478.33	11.580408	80.963348	0.99848779	122.13026	7.566101e-09
1979-07-21 00:00:00	5.9050355	0	101617.37	11.381433	72.41011	0.85911617	181.07928	1.3177432e-08
1979-07-22 00:00:00	3.5631588	0	102420.14	12.279199	68.369087	0.76465508	214.82393	9.8163509e-09
1979-07-23 00:00:00	4.480423	0	102315.26	13.883722	87.595245	0.85824246	175.7083	1.782212e-08
1979-07-24 00:00:00	4.3610706	0	102061.86	13.514703	90.984734	1	104.95145	4.1029994e-08
1979-07-25 00:00:00	4.1272588	0	101700.53	14.225153	91.166367	0.88183234	164.3217	6.4065658e-08
1979-07-26 00:00:00	2.7818544	0	101701.12	14.807458	83.672501	0.88495101	162.94193	1.2756531e-08
