Date,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
1979-05-10 00:00:00,36.286366,346.68588,9.5354248,95.633774,6.5221834,0.016344521,0
1979-05-11 00:00:00,71.538406,354.3692,11.062128,94.814201,5.8824739,0.0036662492,0
1979-05-12 00:00:00,158.19276,331.86084,10.577417,85.840942,5.3359523,0.0010558174,0
1979-05-13 00:00:00,275.18484,305.43475,11.482477,75.064423,5.9197555,0,0
1979-05-14 00:00:00,213.87781,322.44107,11.644678,81.859955,4.4111075,0.0003432053,0
1979-05-15 00:00:00,162.03403,324.37036,9.4453979,81.068451,2.7060161,0.00026043665,0
1979-05-16 00:00:00,140.87399,316.48837,8.1965881,83.97757,4.6688247,0.0083310772,0
1979-05-17 00:00:00,182.92523,303.30887,7.5237976,86.592827,4.6384048,0.0086005757,0
1979-05-18 00:00:00,194.62682,298.81628,7.1212097,75.862221,5.1261072,0.0015250398,0
1979-05-19 00:00:00,162.27898,297.76642,6.5538574,66.900307,5.1317058,0.00062823836,0
1979-05-20 00:00:00,109.17062,313.78326,7.4041992,83.205673,5.3932266,0.011637482,0
1979-05-21 00:00:00,190.79321,296.31528,7.2297913,74.455406,2.5653713,0.007118536,0
1979-05-22 00:00:00,216.8204,292.27527,7.520105,75.037979,4.1230602,0.0016492205,0
1979-05-23 00:00:00,210.85139,290.6889,7.3389526,80.468399,3.6601584,0.0031165231,0
1979-05-24 00:00:00,190.80399,307.92651,7.1575256,81.549637,2.5680745,0.0027914315,0
1979-05-25 00:00:00,218.02574,293.87082,7.7013794,79.359192,2.0680413,0.0041663442,0
1979-05-26 00:00:00,171.6134,304.43576,8.2127319,76.196861,1.7274143,0.0014355535,0
1979-05-27 00:00:00,227.62344,300.52289,8.67547,75.696198,2.6726439,0.004044815,0
1979-05-28 00:00:00,238.50659,299.47223,9.7151733,79.584305,6.9703445,0.0095345879,0
1979-05-29 00:00:00,226.16605,301.42551,10.075494,77.326408,6.9491324,0.0024369795,0
1979-05-30 00:00:00,242.93884,299.35577,10.257623,76.590462,2.1745772,0.0031378152,0
1979-05-31 00:00:00,241.31107,294.68069,9.5644165,74.623459,3.0309162,0.003525888,0
1979-06-01 00:00:00,274.70114,295.11331,11.225793,67.496506,3.937875,0,0
1979-06-02 00:00:00,325.03485,304.74106,13.475488,61.89529,4.353879,0,0
1979-06-03 00:00:00,151.75032,353.366,14.225671,77.237473,3.531441,0.0008225736,0
1979-06-04 00:00:00,152.72499,343.62976,11.902643,88.132782,3.1473186,0.00079029146,0
1979-06-05 00:00:00,172.45195,323.34595,9.6819397,89.47773,2.8863378,0.0060534134,0
1979-06-06 00:00:00,82.939156,326.20819,8.8756958,92.379196,5.5856872,0.0037513586,0
1979-06-07 00:00:00,181.48592,327.94562,10.414545,78.286461,3.2926888,0.0017426456,0
1979-06-08 00:00:00,114.8897,329.26718,11.400964,77.196716,2.702503,0.0064215736,0
1979-06-09 00:00:00,168.07399,332.55212,11.730493,79.375336,2.9371383,0.0016636491,0
1979-06-10 00:00:00,170.22609,339.23035,13.501428,81.764008,2.4848392,0.0022831941,0
1979-06-11 00:00:00,105.28136,348.89478,12.815302,94.250381,2.2226293,0.0043600834,0
